kosisCode7,hjdongCode8,name
3107053,31070530,송탄동
3107055,31070550,지산동
3107056,31070560,송북동
3107057,31070570,신장1동
3107058,31070580,신장2동
3107059,31070590,신평동
3107060,31070600,원평동
3107061,31070610,통복동
3107062,31070670,비전1동
3107065,31070650,비전2동
3107064,31070640,세교동
3108051,31080510,생연1동
1108071,11080710,월곡1동
3108052,31080520,생연2동
3108053,31080530,중앙동
3108055,31080550,보산동
3108056,31080560,불현동
3108061,31080610,송내동
3108058,31080580,소요동
3108060,31080600,상패동
3109151,31091510,일동
3109174,31091740,이동
3109176,31091760,사동
3109178,31091780,해양동
3109177,31091770,사이동
3109154,31091540,본오1동
3109155,31091550,본오2동
3109156,31091560,본오3동
3109157,31091570,부곡동
3109158,31091580,월피동
3109162,31091620,성포동
3109171,31091710,반월동
3109173,31091730,안산동
3109259,31092590,와동
3109274,31092740,고잔동
3109273,31092730,호수동
3109275,31092750,중앙동
3109276,31092760,원곡동
1108072,11080720,월곡2동
3109277,31092770,신길동
3109278,31092780,백운동
3109266,31092660,초지동
3109268,31092680,선부1동
3109269,31092690,선부2동
3109270,31092700,선부3동
3109272,31092720,대부동
3110151,31101510,주교동
3110152,31101520,원신동
3110153,31101511,흥도동
3110154,31101540,성사1동
3110155,31101550,성사2동
3110156,31101560,효자동
3110170,31101512,삼송1동
3110158,31101580,창릉동
3110159,31101590,고양동
3110160,31101600,관산동
1108076,11080760,장위1동
3110161,31101610,능곡동
3110162,31101620,화정1동
3110163,31101630,화정2동
3110164,31101640,행주동
3110165,31101650,행신1동
3110166,31101660,행신2동
3110169,31101514,행신3동
3110167,31101670,화전동
3110168,31101680,대덕동
1108077,11080770,장위2동
3110351,31103510,식사동
3110352,31103511,중산1동
3110353,31103530,정발산동
3110354,31103540,풍산동
3110355,31103550,백석1동
3110361,31103610,백석2동
3110356,31103560,마두1동
3110357,31103570,마두2동
3110358,31103580,장항1동
1108078,11080780,장위3동
3110359,31103590,장항2동
3110360,31103600,고봉동
3110451,31104510,일산1동
3110454,31104511,탄현1동
3110452,31104520,일산2동
3110453,31104530,일산3동
3110455,31104550,주엽1동
3110456,31104560,주엽2동
1108085,11080850,석관동
3110457,31104570,대화동
3110458,31104580,송포동
3110459,31104513,덕이동
3111051,31110510,중앙동
3111052,31110520,갈현동
3111053,31110530,별양동
3111054,31110540,부림동
3111055,31110550,과천동
3111056,31110560,문원동
3112051,31120510,갈매동
3112052,31120520,동구동
3112053,31120530,인창동
3112054,31120540,교문1동
3112055,31120550,교문2동
3112056,31120560,수택1동
3112057,31120570,수택2동
3112058,31120580,수택3동
3113011,31130110,와부읍
3113012,31130120,진접읍
3113013,31130111,화도읍
3113014,31130140,진건읍
3113015,31130150,오남읍
3113031,31130310,별내면
3113016,31130160,퇴계원읍
3113034,31130340,수동면
3113035,31130350,조안면
3113051,31130510,호평동
3113052,31130520,평내동
3113053,31130530,금곡동
3113054,31130540,양정동
3113059,31130590,다산2동
3113058,31130580,다산1동
3113057,31130570,별내동
1109069,11090690,삼양동
3114051,31140510,중앙동
3114052,31140520,대원동
3114053,31140530,남촌동
3114054,31140540,신장동
3114055,31140550,세마동
3114056,31140560,초평동
3115051,31150510,대야동
3115052,31150520,신천동
3115053,31150530,신현동
3115054,31150540,은행동
3115055,31150550,매화동
3115056,31150560,목감동
