sourceCode,targetCode,mappingType,ratio,description
23060710,23060710,UNCHANGED,1.0,
23070510,23070510,UNCHANGED,1.0,
23070520,23070520,UNCHANGED,1.0,
23070530,23070530,UNCHANGED,1.0,
23070540,23070540,UNCHANGED,1.0,
23070550,23070550,UNCHANGED,1.0,
23070620,23070620,UNCHANGED,1.0,
23070560,23070560,UNCHANGED,1.0,
23070570,23070570,UNCHANGED,1.0,
23070580,23070580,UNCHANGED,1.0,
23070630,23070630,UNCHANGED,1.0,
23070640,23070640,UNCHANGED,1.0,
23070610,23070610,UNCHANGED,1.0,
23080510,23080510,UNCHANGED,1.0,
23080530,23080531,RENAMED,1.0,코드변경 23080530→23080531
23080540,23080541,RENAMED,1.0,코드변경 23080540→23080541
23080550,23080550,UNCHANGED,1.0,
23080560,23080560,UNCHANGED,1.0,
23080730,23080730,UNCHANGED,1.0,
23080740,23080740,UNCHANGED,1.0,
11060910,11060910,UNCHANGED,1.0,
23080780,23080780,UNCHANGED,1.0,
23080790,23080790,UNCHANGED,1.0,
23080580,23080580,UNCHANGED,1.0,
23080590,23080590,UNCHANGED,1.0,
23080600,23080600,UNCHANGED,1.0,
23080620,23080620,UNCHANGED,1.0,
23080630,23080630,UNCHANGED,1.0,
23080640,23080640,UNCHANGED,1.0,
23080650,23080650,UNCHANGED,1.0,
23080800,23080800,UNCHANGED,1.0,
11060860,11060860,UNCHANGED,1.0,
23080840,23080840,UNCHANGED,1.0,
23080850,23080850,UNCHANGED,1.0,
23080810,23080810,UNCHANGED,1.0,
23080870,23080870,UNCHANGED,1.0,
23510110,23510110,UNCHANGED,1.0,
23510310,23510310,UNCHANGED,1.0,
23510320,23510320,UNCHANGED,1.0,
23510330,23510330,UNCHANGED,1.0,
23510340,23510340,UNCHANGED,1.0,
23510350,23510350,UNCHANGED,1.0,
23510360,23510360,UNCHANGED,1.0,
23510370,23510370,UNCHANGED,1.0,
23510380,23510380,UNCHANGED,1.0,
23510390,23510390,UNCHANGED,1.0,
23510400,23510400,UNCHANGED,1.0,
23510410,23510410,UNCHANGED,1.0,
23510420,23510420,UNCHANGED,1.0,
23520310,23520310,UNCHANGED,1.0,
23520320,23520320,UNCHANGED,1.0,
23520330,23520330,UNCHANGED,1.0,
23520340,23520340,UNCHANGED,1.0,
23520350,23520350,UNCHANGED,1.0,
23520360,23520360,UNCHANGED,1.0,
23520370,23520370,UNCHANGED,1.0,
24010510,24010510,UNCHANGED,1.0,
24010540,24010540,UNCHANGED,1.0,
24010560,24010560,UNCHANGED,1.0,
24010580,24010580,UNCHANGED,1.0,
24010590,24010590,UNCHANGED,1.0,
24010610,24010610,UNCHANGED,1.0,
24010620,24010620,UNCHANGED,1.0,
24010630,24010630,UNCHANGED,1.0,
11060870,11060870,UNCHANGED,1.0,
24010640,24010640,UNCHANGED,1.0,
24010680,24010680,UNCHANGED,1.0,
24010710,24010710,UNCHANGED,1.0,
24010720,24010720,UNCHANGED,1.0,
24010730,24010730,UNCHANGED,1.0,
24020510,24020510,UNCHANGED,1.0,
11010580,11010580,UNCHANGED,1.0,
11060880,11060880,UNCHANGED,1.0,
24020530,24020530,UNCHANGED,1.0,
24020540,24020540,UNCHANGED,1.0,
24020550,24020550,UNCHANGED,1.0,
24020560,24020560,UNCHANGED,1.0,
24020570,24020570,UNCHANGED,1.0,
24020660,24020660,UNCHANGED,1.0,
24020580,24020580,UNCHANGED,1.0,
24020590,24020590,UNCHANGED,1.0,
24020600,24020600,UNCHANGED,1.0,
24020610,24020610,UNCHANGED,1.0,
24020620,24020620,UNCHANGED,1.0,
24020630,24020630,UNCHANGED,1.0,
24020640,24020640,UNCHANGED,1.0,
24020680,24020680,UNCHANGED,1.0,
24020690,24020690,UNCHANGED,1.0,
24020670,24020670,UNCHANGED,1.0,
24020700,24020700,UNCHANGED,1.0,
24030510,24030510,UNCHANGED,1.0,
24030520,24030520,UNCHANGED,1.0,
24030530,24030530,UNCHANGED,1.0,
24030540,24030540,UNCHANGED,1.0,
24030570,24030570,UNCHANGED,1.0,
24030600,24030600,UNCHANGED,1.0,
24030610,24030610,UNCHANGED,1.0,
24030620,24030620,UNCHANGED,1.0,
24030630,24030630,UNCHANGED,1.0,
11060800,11060800,UNCHANGED,1.0,
24030640,24030640,UNCHANGED,1.0,
24030650,24030650,UNCHANGED,1.0,
24030710,24030710,UNCHANGED,1.0,
24030670,24030670,UNCHANGED,1.0,
24030680,24030680,UNCHANGED,1.0,
24030690,24030690,UNCHANGED,1.0,
24030700,24030700,UNCHANGED,1.0,
24040510,24040510,UNCHANGED,1.0,
24040520,24040831,REORGANIZED,1.0,중흥2동→중흥동
24040530,24040831,REORGANIZED,1.0,중흥3동→중흥동
24040540,24040540,UNCHANGED,1.0,
24040550,24040550,UNCHANGED,1.0,
24040560,24040560,UNCHANGED,1.0,
24040570,24040570,UNCHANGED,1.0,
24040580,24040580,UNCHANGED,1.0,
24040590,24040590,UNCHANGED,1.0,
24040600,24040600,UNCHANGED,1.0,
24040610,24040610,UNCHANGED,1.0,
11060710,11060710,UNCHANGED,1.0,
24040620,24040620,UNCHANGED,1.0,
24040630,24040630,UNCHANGED,1.0,
24040640,24040640,UNCHANGED,1.0,
24040650,24040650,UNCHANGED,1.0,
24040660,24040660,UNCHANGED,1.0,
24040670,24040670,UNCHANGED,1.0,
24040680,24040680,UNCHANGED,1.0,
24040690,24040690,UNCHANGED,1.0,
24040700,24040700,UNCHANGED,1.0,
24040780,24040780,UNCHANGED,1.0,
11060720,11060720,UNCHANGED,1.0,
24040710,24040710,UNCHANGED,1.0,
24040720,24040720,UNCHANGED,1.0,
24040730,24040730,UNCHANGED,1.0,
24040740,24040740,UNCHANGED,1.0,
24040810,24040810,UNCHANGED,1.0,
24040800,24040800,UNCHANGED,1.0,
24050511,24050511,UNCHANGED,1.0,
